Cab,Car,wf,wd,A,N
10.000000,3.000000,1.020000,0.630000,39.269908,1.800000
30.000000,9.000000,1.750000,0.340000,56.548668,1.300000
50.000000,15.000000,2.920000,0.620000,76.969020,1.400000
