Edir,Edif
0.737069,0.186462
0.723872,0.182320
0.710674,0.178201
0.697477,0.174059
0.709600,0.176363
0.721646,0.178643
0.733770,0.180947
0.745816,0.183227
0.757940,0.185531
0.770370,0.187811
0.781880,0.190115
0.794156,0.192396
0.806433,0.194699
0.818710,0.196980
0.830220,0.199284
0.842496,0.201564
0.854773,0.203868
0.867050,0.206148
0.878560,0.208452
0.890836,0.210732
0.903113,0.213036
0.915390,0.215316
0.926899,0.217620
0.939176,0.219901
0.906950,0.212082
0.873956,0.204240
0.841729,0.196421
0.808735,0.188579
0.776509,0.180761
0.743745,0.172919
0.711211,0.165100
0.678601,0.157258
0.646067,0.149439
0.613457,0.141597
0.580924,0.133779
0.548313,0.125937
0.515780,0.118118
0.483169,0.110276
0.450636,0.102457
0.418026,0.094615
0.385492,0.086797
0.352882,0.078955
0.320348,0.071136
0.287738,0.063294
0.321115,0.070159
0.354416,0.077023
0.387794,0.083888
0.421095,0.090753
0.454472,0.097617
0.487773,0.104482
0.521151,0.111347
0.554452,0.118211
0.587829,0.125076
0.621130,0.131940
0.654508,0.138805
0.687809,0.145670
0.721186,0.152534
0.754487,0.159399
0.788018,0.166264
0.821012,0.173128
0.854773,0.179993
0.887767,0.186857
0.921528,0.193722
0.954522,0.200587
0.952988,0.199795
0.951453,0.199004
0.949919,0.198213
0.947617,0.197422
0.946082,0.196631
0.944547,0.195840
0.943013,0.195048
0.941478,0.194257
0.939944,0.193466
0.938409,0.192675
0.936107,0.191884
0.934572,0.191093
0.933038,0.190301
0.931503,0.189510
0.929969,0.188719
0.928434,0.187928
0.926132,0.187137
0.924598,0.186345
0.923063,0.185554
0.921528,0.184763
0.911553,0.182436
0.900811,0.180086
0.890836,0.177759
0.880094,0.175409
0.870119,0.173082
0.860144,0.170731
0.849402,0.168404
0.839427,0.166054
0.828685,0.163727
0.818710,0.161377
0.808735,0.159050
0.797993,0.156700
0.788018,0.154373
0.777276,0.152022
0.767301,0.149695
0.757019,0.147345
0.746737,0.145018
0.736455,0.142668
0.726174,0.140341
0.715892,0.137991
0.722491,0.138968
0.729089,0.139922
0.735688,0.140899
0.742287,0.141853
0.748886,0.142831
0.755484,0.143785
0.762083,0.144762
0.768836,0.145716
0.774974,0.146694
0.781880,0.147648
0.788785,0.148625
0.794924,0.149579
0.801829,0.150556
0.807968,0.151510
0.814874,0.152488
0.821779,0.153442
0.827918,0.154419
0.834823,0.155373
0.840962,0.156351
0.847867,0.157305
0.847867,0.157118
0.848635,0.156932
0.848635,0.156746
0.849402,0.156560
0.849402,0.156374
0.850169,0.156188
0.850169,0.156001
0.850937,0.155815
0.850937,0.155629
0.851704,0.155443
0.851704,0.155257
0.851704,0.155071
0.852471,0.154885
0.852471,0.154698
0.853239,0.154512
0.853239,0.154326
0.854006,0.154140
0.854006,0.153954
0.854773,0.153768
0.854773,0.153581
0.854773,0.153116
0.854006,0.152651
0.854006,0.152185
0.853239,0.151720
0.853239,0.151254
0.852471,0.150789
0.852471,0.150324
0.851704,0.149858
0.851704,0.149393
0.850937,0.148927
0.850937,0.148462
0.850169,0.147997
0.850169,0.147531
0.849402,0.147066
0.849402,0.146600
0.848635,0.146135
0.848635,0.145670
0.847867,0.145204
0.847867,0.144739
0.847100,0.144273
0.834056,0.141807
0.821012,0.139340
0.807968,0.136874
0.794924,0.134407
0.781880,0.131940
0.768836,0.129474
0.755791,0.127007
0.742747,0.124541
0.729703,0.122074
0.716659,0.119607
0.703615,0.117141
0.690571,0.114674
0.677527,0.112208
0.664483,0.109741
0.651438,0.107274
0.638394,0.104808
0.625350,0.102341
0.612306,0.099874
0.599262,0.097408
0.586218,0.094941
0.595272,0.096105
0.604326,0.097245
0.613380,0.098408
0.622434,0.099549
0.631489,0.100712
0.640543,0.101852
0.649597,0.103016
0.658651,0.104156
0.667705,0.105320
0.676759,0.106460
0.685814,0.107623
0.694868,0.108764
0.703922,0.109927
0.712976,0.111067
0.722030,0.112231
0.731084,0.113371
0.740138,0.114534
0.749193,0.115675
0.758247,0.116838
0.767301,0.117978
0.749730,0.115140
0.732159,0.112301
0.714587,0.109462
0.697016,0.106623
0.679445,0.103784
0.661874,0.100945
0.644303,0.098106
0.626731,0.095267
0.609160,0.092428
0.591589,0.089589
0.574018,0.086750
0.556447,0.083911
0.538875,0.081072
0.521304,0.078233
0.503733,0.075395
0.486162,0.072556
0.468591,0.069717
0.451019,0.066878
0.433448,0.064039
0.415877,0.061200
0.415263,0.060990
0.414573,0.060758
0.413959,0.060548
0.413268,0.060316
0.412654,0.060106
0.411964,0.059873
0.411350,0.059664
0.410659,0.059431
0.410046,0.059222
0.409355,0.058989
0.408741,0.058780
0.408051,0.058547
0.407437,0.058338
0.406746,0.058105
0.406132,0.057896
0.405442,0.057663
0.404828,0.057453
0.404137,0.057221
0.403524,0.057011
0.402833,0.056779
0.411427,0.057802
0.420021,0.058826
0.428614,0.059850
0.437208,0.060874
0.445802,0.061898
0.454396,0.062922
0.462989,0.063946
0.471583,0.064970
0.480177,0.065993
0.488771,0.067017
0.497364,0.068041
0.505958,0.069065
0.514552,0.070089
0.523146,0.071113
0.531740,0.072137
0.540333,0.073161
0.548927,0.074184
0.557521,0.075208
0.566115,0.076232
0.574708,0.077256
0.580386,0.077815
0.586064,0.078373
0.591742,0.078932
0.597420,0.079490
0.603099,0.080048
0.608777,0.080607
0.614455,0.081165
0.620133,0.081724
0.625811,0.082282
0.631489,0.082841
0.637167,0.083399
0.642845,0.083958
0.648523,0.084516
0.654201,0.085075
0.659879,0.085633
0.665557,0.086192
0.671235,0.086750
0.676913,0.087309
0.682591,0.087867
0.688269,0.088426
0.686888,0.088100
0.685430,0.087751
0.684049,0.087425
0.682591,0.087076
0.681210,0.086750
0.679752,0.086401
0.678371,0.086075
0.676913,0.085726
0.675532,0.085401
0.674074,0.085052
0.672693,0.084726
0.671235,0.084377
0.669854,0.084051
0.668396,0.083702
0.667015,0.083376
0.665557,0.083027
0.664176,0.082701
0.662718,0.082352
0.661337,0.082026
0.659879,0.081677
0.658958,0.081421
0.657961,0.081142
0.657040,0.080886
0.656042,0.080607
0.655122,0.080351
0.654124,0.080072
0.653203,0.079816
0.652206,0.079537
0.651285,0.079281
0.650288,0.079001
0.649367,0.078745
0.648369,0.078466
0.647448,0.078210
0.646451,0.077931
0.645530,0.077675
0.644533,0.077396
0.643612,0.077140
0.642615,0.076861
0.641694,0.076605
0.640696,0.076325
0.639392,0.076046
0.638087,0.075767
0.636783,0.075488
0.635479,0.075208
0.634174,0.074929
0.632870,0.074650
0.631565,0.074371
0.630261,0.074091
0.628957,0.073812
0.627652,0.073533
0.626348,0.073254
0.625043,0.072974
0.623739,0.072695
0.622434,0.072416
0.621130,0.072137
0.619826,0.071857
0.618521,0.071578
0.617217,0.071299
0.615912,0.071020
0.614608,0.070741
0.612076,0.070345
0.609544,0.069949
0.607012,0.069554
0.604480,0.069158
0.601948,0.068763
0.599415,0.068367
0.596883,0.067971
0.594351,0.067576
0.591819,0.067180
0.589287,0.066785
0.586755,0.066389
0.584223,0.065993
0.581691,0.065598
0.579159,0.065202
0.576627,0.064807
0.574095,0.064411
0.571562,0.064016
0.569030,0.063620
0.566498,0.063224
0.563966,0.062829
0.562125,0.062526
0.560283,0.062224
0.558442,0.061921
0.556600,0.061619
0.554759,0.061316
0.552917,0.061014
0.551076,0.060711
0.549234,0.060409
0.547392,0.060106
0.545551,0.059804
0.543709,0.059501
0.541868,0.059199
0.540026,0.058896
0.538185,0.058594
0.536343,0.058291
0.534502,0.057989
0.532660,0.057686
0.530819,0.057384
0.528977,0.057081
0.527136,0.056779
0.509027,0.054824
0.490842,0.052846
0.472734,0.050891
0.454549,0.048913
0.436441,0.046959
0.418256,0.044981
0.400147,0.043026
0.381962,0.041048
0.363854,0.039093
0.345669,0.037116
0.327561,0.035161
0.309376,0.033183
0.291267,0.031228
0.273082,0.029250
0.254974,0.027296
0.236789,0.025318
0.218681,0.023363
0.200496,0.021385
0.182387,0.019419
0.164202,0.017452
0.171185,0.018127
0.178091,0.018802
0.185073,0.019477
0.191979,0.020152
0.198961,0.020827
0.205867,0.021501
0.212849,0.022176
0.219755,0.022851
0.226737,0.023526
0.233643,0.024201
0.240626,0.024876
0.247531,0.025550
0.254514,0.026225
0.261419,0.026900
0.268402,0.027575
0.275308,0.028250
0.282290,0.028924
0.289196,0.029599
0.296178,0.030274
0.303084,0.030949
0.303084,0.030902
0.303007,0.030856
0.303007,0.030809
0.302930,0.030763
0.302930,0.030716
0.302854,0.030670
0.302854,0.030623
0.302777,0.030577
0.302777,0.030530
0.302700,0.030484
0.302700,0.030437
0.302623,0.030391
0.302623,0.030344
0.302547,0.030297
0.302547,0.030251
0.302470,0.030204
0.302470,0.030158
0.302393,0.030111
0.302393,0.030065
0.302317,0.030018
0.308455,0.030577
0.314517,0.031112
0.320655,0.031670
0.326717,0.032206
0.332855,0.032764
0.338917,0.033299
0.345055,0.033858
0.351117,0.034393
0.357255,0.034951
0.363317,0.035487
0.369455,0.036045
0.375517,0.036580
0.381655,0.037139
0.387717,0.037674
0.393856,0.038232
0.399917,0.038768
0.406056,0.039326
0.412117,0.039861
0.418256,0.040420
0.424317,0.040955
0.424010,0.040885
0.423704,0.040815
0.423397,0.040746
0.423090,0.040676
0.422783,0.040606
0.422476,0.040536
0.422169,0.040466
0.421862,0.040397
0.421555,0.040327
0.421248,0.040257
0.420941,0.040187
0.420634,0.040117
0.420327,0.040048
0.420021,0.039978
0.419714,0.039908
0.419407,0.039838
0.419100,0.039768
0.418793,0.039698
0.418486,0.039629
0.418179,0.039559
0.420251,0.039722
0.422322,0.039861
0.424394,0.040024
0.426466,0.040164
0.428538,0.040327
0.430609,0.040466
0.432681,0.040629
0.434753,0.040769
0.436824,0.040932
0.438896,0.041071
0.440968,0.041234
0.443040,0.041374
0.445111,0.041537
0.447183,0.041676
0.449255,0.041839
0.451326,0.041979
0.453398,0.042142
0.455470,0.042281
0.457542,0.042444
0.459613,0.042584
0.459153,0.042491
0.458692,0.042398
0.458232,0.042305
0.457772,0.042212
0.457311,0.042119
0.456851,0.042025
0.456391,0.041932
0.455930,0.041839
0.455470,0.041746
0.455009,0.041653
0.454549,0.041560
0.454089,0.041467
0.453628,0.041374
0.453168,0.041281
0.452708,0.041188
0.452247,0.041095
0.451787,0.041002
0.451326,0.040909
0.450866,0.040815
0.450406,0.040722
0.448718,0.040536
0.446953,0.040350
0.445265,0.040164
0.443500,0.039978
0.441812,0.039792
0.440047,0.039605
0.438359,0.039419
0.436594,0.039233
0.434906,0.039047
0.433141,0.038861
0.431453,0.038675
0.429689,0.038488
0.428000,0.038302
0.426236,0.038116
0.424548,0.037930
0.422783,0.037744
0.421095,0.037558
0.419330,0.037371
0.417642,0.037185
0.415877,0.036999
0.414803,0.036883
0.413729,0.036743
0.412654,0.036627
0.411580,0.036487
0.410506,0.036371
0.409432,0.036231
0.408358,0.036115
0.407283,0.035975
0.406209,0.035859
0.405135,0.035719
0.404061,0.035603
0.402986,0.035463
0.401912,0.035347
0.400838,0.035207
0.399764,0.035091
0.398690,0.034951
0.397615,0.034835
0.396541,0.034695
0.395467,0.034579
0.394393,0.034439
0.392398,0.034253
0.390403,0.034044
0.388408,0.033858
0.386413,0.033648
0.384418,0.033462
0.382423,0.033253
0.380428,0.033067
0.378433,0.032857
0.376438,0.032671
0.374443,0.032462
0.372448,0.032275
0.370453,0.032066
0.368458,0.031880
0.366463,0.031670
0.364468,0.031484
0.362473,0.031275
0.360478,0.031089
0.358483,0.030879
0.356488,0.030693
0.354493,0.030484
0.349352,0.030041
0.344134,0.029576
0.338994,0.029134
0.333776,0.028669
0.328635,0.028226
0.323417,0.027761
0.318276,0.027319
0.313059,0.026853
0.307918,0.026411
0.302700,0.025946
0.297559,0.025504
0.292342,0.025038
0.287201,0.024596
0.281983,0.024131
0.276842,0.023689
0.271625,0.023223
0.266484,0.022770
0.261266,0.022316
0.256125,0.021862
0.250907,0.021408
0.248529,0.021199
0.246073,0.020989
0.243695,0.020780
0.241239,0.020571
0.238861,0.020361
0.236405,0.020152
0.234027,0.019942
0.231571,0.019733
0.229193,0.019523
0.226737,0.019314
0.224359,0.019105
0.221903,0.018895
0.219525,0.018686
0.217069,0.018476
0.214691,0.018267
0.212235,0.018057
0.209857,0.017848
0.207401,0.017639
0.205023,0.017429
0.202567,0.017220
0.192746,0.016382
0.182848,0.015544
0.173026,0.014707
0.163128,0.013869
0.153307,0.013031
0.143409,0.012193
0.133587,0.011356
0.123689,0.010518
0.113867,0.009680
0.103969,0.008843
0.094148,0.008005
0.084250,0.007167
0.074390,0.006329
0.064530,0.005492
0.054670,0.004654
0.044810,0.003816
0.034951,0.002979
0.025091,0.002141
0.015231,0.001303
0.005371,0.000465
0.005218,0.000454
0.005064,0.000442
0.004911,0.000430
0.004757,0.000419
0.004604,0.000407
0.004450,0.000396
0.004297,0.000384
0.004143,0.000372
0.003990,0.000361
0.003837,0.000349
0.003683,0.000337
0.003530,0.000326
0.003376,0.000314
0.003223,0.000303
0.003069,0.000291
0.002916,0.000279
0.002762,0.000268
0.002609,0.000256
0.002455,0.000244
0.002302,0.000233
0.002992,0.000291
0.003683,0.000349
0.004374,0.000407
0.005064,0.000465
0.005755,0.000524
0.006445,0.000582
0.007136,0.000640
0.007826,0.000698
0.008517,0.000756
0.009208,0.000814
0.009898,0.000873
0.010589,0.000931
0.011279,0.000989
0.011970,0.001047
0.012660,0.001105
0.013351,0.001163
0.014042,0.001222
0.014732,0.001280
0.015423,0.001338
0.016113,0.001396
0.016075,0.001385
0.016037,0.001373
0.015998,0.001361
0.015960,0.001350
0.015921,0.001338
0.015883,0.001326
0.015845,0.001315
0.015806,0.001303
0.015768,0.001291
0.015730,0.001280
0.015691,0.001268
0.015653,0.001257
0.015615,0.001245
0.015576,0.001233
0.015538,0.001222
0.015499,0.001210
0.015461,0.001198
0.015423,0.001187
0.015384,0.001175
0.015346,0.001163
0.016650,0.001268
0.017955,0.001373
0.019259,0.001478
0.020564,0.001582
0.021868,0.001687
0.023172,0.001792
0.024477,0.001896
0.025781,0.002001
0.027086,0.002106
0.028390,0.002211
0.029695,0.002315
0.030999,0.002420
0.032303,0.002525
0.033608,0.002629
0.034912,0.002734
0.036217,0.002839
0.037521,0.002944
0.038825,0.003048
0.040130,0.003153
0.041434,0.003258
0.044465,0.003502
0.047496,0.003746
0.050527,0.003991
0.053558,0.004235
0.056588,0.004479
0.059619,0.004724
0.062650,0.004968
0.065681,0.005212
0.068712,0.005457
0.071743,0.005701
0.074773,0.005945
0.077804,0.006190
0.080874,0.006434
0.083866,0.006678
0.086935,0.006923
0.089928,0.007167
0.092997,0.007411
0.095989,0.007656
0.099059,0.007900
0.102051,0.008144
0.101821,0.008133
0.101591,0.008121
0.101360,0.008110
0.101130,0.008098
0.100900,0.008086
0.100670,0.008075
0.100440,0.008063
0.100209,0.008051
0.099979,0.008040
0.099749,0.008028
0.099519,0.008016
0.099289,0.008005
0.099059,0.007993
0.098828,0.007982
0.098598,0.007970
0.098368,0.007958
0.098138,0.007947
0.097908,0.007935
0.097677,0.007923
0.097447,0.007912
0.106194,0.008587
0.114865,0.009261
0.123612,0.009936
0.132283,0.010611
0.141030,0.011286
0.149700,0.011961
0.158448,0.012636
0.167118,0.013310
0.175865,0.013985
0.184536,0.014660
0.193283,0.015335
0.201954,0.016010
0.210701,0.016685
0.219371,0.017359
0.228119,0.018034
0.236789,0.018709
0.245536,0.019384
0.254207,0.020059
0.262954,0.020733
0.271625,0.021408
0.271701,0.021408
0.271701,0.021408
0.271778,0.021408
0.271778,0.021408
0.271855,0.021408
0.271855,0.021408
0.271931,0.021408
0.271931,0.021408
0.272008,0.021408
0.272008,0.021408
0.272085,0.021408
0.272085,0.021408
0.272162,0.021408
0.272162,0.021408
0.272238,0.021408
0.272238,0.021408
0.272315,0.021408
0.272315,0.021408
0.272392,0.021408
0.272392,0.021408
0.272852,0.021432
0.273236,0.021455
0.273696,0.021478
0.274080,0.021501
0.274540,0.021525
0.274924,0.021548
0.275384,0.021571
0.275768,0.021594
0.276228,0.021618
0.276612,0.021641
0.277072,0.021664
0.277456,0.021688
0.277916,0.021711
0.278300,0.021734
0.278760,0.021757
0.279144,0.021781
0.279604,0.021804
0.279988,0.021827
0.280448,0.021850
0.280832,0.021874
0.280755,0.021850
0.280679,0.021827
0.280602,0.021804
0.280525,0.021781
0.280448,0.021757
0.280372,0.021734
0.280295,0.021711
0.280218,0.021688
0.280142,0.021664
0.280065,0.021641
0.279988,0.021618
0.279911,0.021594
0.279835,0.021571
0.279758,0.021548
0.279681,0.021525
0.279604,0.021501
0.279528,0.021478
0.279451,0.021455
0.279374,0.021432
0.279298,0.021408
0.278223,0.021304
0.277072,0.021199
0.275998,0.021094
0.274847,0.020989
0.273773,0.020885
0.272622,0.020780
0.271548,0.020675
0.270397,0.020571
0.269323,0.020466
0.268172,0.020361
0.267097,0.020256
0.265946,0.020152
0.264872,0.020047
0.263721,0.019942
0.262647,0.019838
0.261496,0.019733
0.260422,0.019628
0.259271,0.019523
0.258197,0.019419
0.257046,0.019314
0.257046,0.019291
0.256969,0.019267
0.256969,0.019244
0.256892,0.019221
0.256892,0.019198
0.256816,0.019174
0.256816,0.019151
0.256739,0.019128
0.256739,0.019105
0.256662,0.019081
0.256662,0.019058
0.256585,0.019035
0.256585,0.019012
0.256509,0.018988
0.256509,0.018965
0.256432,0.018942
0.256432,0.018918
0.256355,0.018895
0.256355,0.018872
0.256279,0.018849
0.256125,0.018814
0.255895,0.018779
0.255741,0.018744
0.255511,0.018709
0.255358,0.018674
0.255128,0.018639
0.254974,0.018604
0.254744,0.018569
0.254590,0.018534
0.254360,0.018500
0.254207,0.018465
0.253977,0.018430
0.253823,0.018395
0.253593,0.018360
0.253439,0.018325
0.253209,0.018290
0.253056,0.018255
0.252826,0.018220
0.252672,0.018185
0.252442,0.018151
0.251675,0.018081
0.250907,0.018011
0.250140,0.017941
0.249373,0.017871
0.248605,0.017801
0.247838,0.017732
0.247071,0.017662
0.246304,0.017592
0.245536,0.017522
0.244769,0.017452
0.244002,0.017383
0.243234,0.017313
0.242467,0.017243
0.241700,0.017173
0.240932,0.017103
0.240165,0.017034
0.239398,0.016964
0.238631,0.016894
0.237863,0.016824
0.237096,0.016754
0.237019,0.016731
0.236866,0.016708
0.236789,0.016685
0.236636,0.016661
0.236559,0.016638
0.236405,0.016615
0.236329,0.016591
0.236175,0.016568
0.236098,0.016545
0.235945,0.016522
0.235868,0.016498
0.235715,0.016475
0.235638,0.016452
0.235485,0.016429
0.235408,0.016405
0.235254,0.016382
0.235178,0.016359
0.235024,0.016335
0.234948,0.016312
0.234794,0.016289
0.234334,0.016231
0.233797,0.016173
0.233336,0.016114
0.232799,0.016056
0.232339,0.015998
0.231802,0.015940
0.231341,0.015882
0.230804,0.015824
0.230344,0.015765
0.229807,0.015707
0.229346,0.015649
0.228809,0.015591
0.228349,0.015533
0.227812,0.015474
0.227351,0.015416
0.226814,0.015358
0.226354,0.015300
0.225817,0.015242
0.225356,0.015184
0.224819,0.015125
0.224282,0.015079
0.223668,0.015032
0.223131,0.014986
0.222517,0.014939
0.221980,0.014893
0.221366,0.014846
0.220829,0.014800
0.220215,0.014753
0.219678,0.014707
0.219064,0.014660
0.218527,0.014614
0.217913,0.014567
0.217376,0.014520
0.216763,0.014474
0.216225,0.014427
0.215612,0.014381
0.215074,0.014334
0.214461,0.014288
0.213923,0.014241
0.213310,0.014195
0.213079,0.014171
0.212849,0.014148
0.212619,0.014125
0.212389,0.014102
0.212159,0.014078
0.211929,0.014055
0.211698,0.014032
0.211468,0.014008
0.211238,0.013985
0.211008,0.013962
0.210778,0.013939
0.210547,0.013915
0.210317,0.013892
0.210087,0.013869
0.209857,0.013846
0.209627,0.013822
0.209396,0.013799
0.209166,0.013776
0.208936,0.013753
0.208706,0.013729
0.206327,0.013566
0.203949,0.013403
0.201570,0.013241
0.199191,0.013078
0.196813,0.012915
0.194434,0.012752
0.192055,0.012589
0.189677,0.012426
0.187298,0.012263
0.184920,0.012100
0.182541,0.011937
0.180162,0.011775
0.177784,0.011612
0.175405,0.011449
0.173026,0.011286
0.170648,0.011123
0.168269,0.010960
0.165890,0.010797
0.163512,0.010634
0.161133,0.010471
0.162591,0.010553
0.164049,0.010634
0.165507,0.010716
0.166965,0.010797
0.168423,0.010879
0.169880,0.010960
0.171338,0.011042
0.172796,0.011123
0.174254,0.011204
0.175712,0.011286
0.177170,0.011367
0.178628,0.011449
0.180086,0.011530
0.181543,0.011612
0.183001,0.011693
0.184459,0.011775
0.185917,0.011856
0.187375,0.011937
0.188833,0.012019
0.190291,0.012100
0.186224,0.011833
0.182081,0.011565
0.178014,0.011298
0.173870,0.011030
0.169804,0.010762
0.165660,0.010495
0.161594,0.010227
0.157450,0.009960
0.153383,0.009692
0.149240,0.009424
0.145173,0.009157
0.141030,0.008889
0.136963,0.008622
0.132820,0.008354
0.128753,0.008086
0.124610,0.007819
0.120543,0.007551
0.116400,0.007283
0.112333,0.007016
0.108189,0.006748
0.104046,0.006492
0.099903,0.006236
0.095759,0.005980
0.091616,0.005724
0.087472,0.005468
0.083329,0.005212
0.079185,0.004956
0.075042,0.004701
0.070899,0.004445
0.066755,0.004189
0.062612,0.003933
0.058468,0.003677
0.054325,0.003421
0.050181,0.003165
0.046038,0.002909
0.041895,0.002653
